Library Name,Annual Standard Reference Transactions,Annual Reader's Advisory Transactions,Annual Information Communication Technology Transactions,Annual Electronic Reference Transactions,Annual accessible material equipment or device requests,Annual Library Transactions,Annual Circulation of Physical Items,Annual E-Book Downloads / Borrows,Annual E-Audio Book Downloads / Borrows,Annual Music Downloads / Borrows,Annual Video Downloads / Borrows,Annual E-Magazine Downloads / Borrows,Annual Circulation of E-Books and other downloadable Items,Items Borrowed via Inter Library Loan,Items Loaned via Inter Library Loan,Number of People Using Library Computer Workstations,Number of Times Electronic Databases are Accessed,No. of people using Maker Spaces Digital Media labs Self Publishing centres,Annual In-Library Material Use,Library Visits Made in Person,Electronic Visits to the Library Website,Number of People using Wireless,Programs Held Annually,Annual Program Attendance,Service visits provided to residence-bound residents and people-at-risk
Aurora,5600,700,2400,550,150,479646,420046,46248,22581,1776,2356,58472,131433,539,830,14050,6240,2300,39400,250700,214292,0,1796,33120,75
Bancroft Town,800,1500,750,1500,750,13654,9854,6579,2808,0,0,1138,10525,130,499,1250,0,0,250,1500,1716,2550,0,0,0
Barrie,3800,2200,6500,2800,2300,1036014,809960,158096,104284,1354,7222,63352,334308,1767,1069,49950,111904,50,107550,511000,411112,84600,2705,60422,1020
Beausoleil First Nation Public Library,500,100,150,0,0,4730,1180,0,0,0,0,0,0,0,0,1300,0,50,1750,3500,0,0,141,715,0
Belleville,3600,1700,5100,750,300,384943,330539,49194,27450,313,5995,9289,92241,1077,1865,12050,24804,0,25250,122500,209040,20000,697,18019,530
Big Grassy FN,150,0,0,0,0,3950,300,0,0,0,0,0,0,0,0,500,0,0,3000,7500,0,3500,1,10,0
Biigtigong Nishnaabeg,0,1250,0,0,0,2100,1800,0,0,0,0,0,0,0,0,300,0,0,0,3250,0,150,0,0,0
Billings Twp,50,200,150,50,0,2497,2047,0,0,0,0,0,0,187,0,300,0,0,50,1350,364,500,1,550,0
Bkejwanong FN,300,0,450,300,150,19055,105,0,0,0,0,0,0,1,1,6050,520,400,12300,8150,104,11000,85,1599,0
Black River-Matheson Twp,0,0,150,0,3800,14441,12441,1715,0,0,0,0,1715,165,68,1550,0,900,450,14800,0,850,94,1114,7
Blind River,8550,3050,650,1900,450,36963,12063,4833,1812,0,0,637,7282,592,205,1950,52,500,12500,14400,17108,4350,51,3051,1
Blue Mountains,2650,1050,1650,250,50,71094,60344,19363,9503,71,612,6878,36427,748,659,6400,4784,100,1450,118000,53560,8000,692,19005,7
Bonfield,300,150,0,0,0,90502,9552,847,646,0,0,542,2035,329,269,850,0,200,79800,5700,1456,750,9,311,0
Bonnechere Union,11100,550,350,1350,200,42898,22998,3964,2319,0,0,963,7246,362,297,3750,0,100,3700,17150,7852,4250,478,3757,24
Bracebridge,850,1600,1900,1150,50,72036,61136,18318,11186,0,0,4883,34387,1017,972,3750,1508,0,5150,27050,530972,5550,644,6242,35
